"Situação","Macroprocesso","Tipo documental","id","AÇÃO"
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Planilha de índice de maturidade do projeto em geologia estrutural e geomecânica","10458"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Planilha de estudo de ventilação subterrânea","10460"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Planilha de produtos do grupo de revisão de reservatórios","10461"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Quadro de monitoramento de limites geomecânicos","10472"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Planilha de tratamento de perdas de produção dos reservatórios","10477"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Relatório de vigilância de produção de óleo e gás","10480"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","ISA de orientação técnica para estimativa de reservas de campos no Brasil","10494"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","ISA de orientação técnica para estimativa de reservas de campos no exterior","10496"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Gráfico de acompanhamento de potencial e perdas dos poços","10499"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","ISA de aprovação de intervenção em poço","10512"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Ata de reunião de aprovação de intervenção em poço","10513"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Planilha de monitoramento da otimização da produção de poços","10521"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Gráfico de acompanhamento de injeção de desemulsificante subsea e respectivos ganhos de produção","10523"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","ISA de encaminhamento de resultado de teste de impairment","10534"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","ISA de encaminhamento de atualização de unidades geradoras de caixa","10536"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Padrão de gestão da Comissão de Intervenção em Poços","10541"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Padrão de monitoramento e otimização da produção de poços","10542"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Padrão de gestão do potencial de injeção de água em poços offshore","10544"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Padrão com definição do potencial proposto para poços produtores marítimos e terrestres","10549"," "
